Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Saint Vincent and the Grenadines,Americas,1008,9085.99,245,57,2,18.03,0,0,Clusters of cases
Papua New Guinea,Western Pacific,867,96.9,17,0,9,1.01,0,0,Community transmission
Bhutan,South-East Asia,859,1113.26,3,0,1,1.3,0,0,Clusters of cases
Other,Other,745,,0,0,13,,0,0,Not applicable
Bermuda,Americas,692,11112.36,6,1,12,192.7,0,0,Sporadic cases
Faroe Islands,Europe,654,13383.81,0,0,1,20.46,0,0,Sporadic cases
Guernsey,Europe,585,9256.91,226,46,13,205.71,0,0,Community transmission
Mauritius,Africa,583,458.42,15,15,10,7.86,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Pending
Cambodia,Western Pacific,466,27.87,6,0,0,0,0,0,Sporadic cases
Isle of Man,Europe,434,5103.96,2,0,25,294.01,0,0,No cases
Cayman Islands,Americas,398,6056,15,8,2,30.43,0,0,Sporadic cases
Saint Barthélemy,Americas,379,38340.92,3,0,0,0,0,0,Sporadic cases
Bonaire,Americas,366,17499.4,10,0,3,143.44,0,0,Community transmission
Antigua and Barbuda,Americas,234,2389.49,33,0,7,71.48,1,0,Sporadic cases
Brunei Darussalam,Western Pacific,180,411.45,4,0,3,6.86,0,0,Sporadic cases
Grenada,Americas,148,1315.29,0,0,1,8.89,0,0,Sporadic cases
British Virgin Islands,Americas,141,4663.16,4,0,1,33.07,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,133,2310.75,1,0,2,34.75,0,0,Pending
Dominica,Americas,121,1680.77,8,4,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,77,58.4,9,2,0,0,0,0,Sporadic cases
Fiji,Western Pacific,55,61.35,0,0,2,2.23,0,0,Sporadic cases
New Caledonia,Western Pacific,47,164.62,3,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,44,6.05,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,41,11771.46,4,1,0,0,0,0,No cases
Saint Kitts and Nevis,Americas,39,733.19,4,1,0,0,0,0,Sporadic cases
Greenland,Europe,30,528.43,0,0,0,0,0,0,No cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,4141.5,1,0,0,0,0,0,Clusters of cases
Sint Eustatius,Americas,20,6371.46,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,17,1133.18,1,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,No cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Saba,Americas,6,3103.98,0,0,0,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,5,444.6,0,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,No cases
Samoa,Western Pacific,2,10.08,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
